title,price,location,rooms,size
Apartment,100000,"Salalah, Dhofar",1.0,85
Villa,190000,"Ansab, Muscat",6.0,527
Villa,70000,"Al Amarat, Muscat",5.0,534
Apartment,103000,"Muscat Hills, Muscat",2.0,168
Villa,50000,"Barka, Al Batinah",3.0,176
Villa,50000,"Sohar, Al Batinah",2.0,610
Residential Land,55000,"Al Qabil, Al Sharqiya",,6
Residential Land,14000,"Al 'Awabi, Al Batinah",,500
Apartment,50070,"Sultan Haitham City, Muscat",1.0,67
Villa,330000,"Muscat Hills, Muscat",4.0,280
Apartment,248000,"The Wave (Almouj), Muscat",3.0,245
Residential Land,14900,"Ja'alan Bani Bu Ali, Al Sharqiya",,656
Apartment,144554,"Yiti, Muscat",2.0,117
Apartment,26000,"Al Maabilah, Muscat",2.0,102
Villa,65000,"Al Amarat, Muscat",5.0,300
Chalet,78500,"Barka, Al Batinah",2.0,150
Villa,125000,"Al Mawaleh, Muscat",4.0,634
Apartment,35500,"Bosher, Muscat",1.0,79
Apartment,29000,"Bosher, Muscat",1.0,67
Villa,178000,"Al Maabilah, Muscat",5.0,249
Residential Land,20000,"Barka, Al Batinah",,479
Apartment,41600,"Sultan Haitham City, Muscat",,56
Residential Land,18000,"Barka, Al Batinah",,600
Apartment,35000,"Ghala, Muscat",1.0,67
Apartment,27000,"Mirbat, Dhofar",2.0,70
Residential Land,38500,"Al Maabilah, Muscat",,600
Residential Land,57000,"Al Seeb, Muscat",,119
Villa,185000,"The Wave (Almouj), Muscat",2.0,128
Residential Land,5150,"Barka, Al Batinah",,609
Apartment,65000,"Muscat Hills, Muscat",,46
Apartment,95326,"Yiti, Muscat",1.0,59
Residential Land,10000,"Saham, Al Batinah",,600
Villa,950000,"Qantab, Muscat",5.0,750
Apartment,140375,"Qantab, Muscat",2.0,115
Villa,356040,"Qantab, Muscat",3.0,357
Apartment,140000,"Al Sifah, Muscat",2.0,159
Chalet,205000,"Al Sifah, Muscat",3.0,177
Apartment,70850,"Sultan Haitham City, Muscat",2.0,109
Apartment,204000,"Sultan Haitham City, Muscat",4.0,272
Apartment,163050,"Sultan Haitham City, Muscat",3.0,217
Villa,154000,"Sultan Haitham City, Muscat",3.0,209
Apartment,29500,"Al Khoud, Muscat",1.0,60
Residential Land,133000,"Al Maabilah, Muscat",,400
Residential Land,20000,"Al Amarat, Muscat",,612
Apartment,110000,"The Wave (Almouj), Muscat",1.0,88
Apartment,72000,"Muscat Hills, Muscat",2.0,108
Residential Land,14900,"Barka, Al Batinah",,300
Apartment,41000,"Sultan Haitham City, Muscat",,71
Residential Land,10900,"Al Amarat, Muscat",,675
Apartment,43000,"Al Khoud, Muscat",2.0,110
Apartment,67000,"Muscat Hills, Muscat",1.0,96
Apartment,39000,"Azaiba, Muscat",2.0,98
Residential Land,170000,"Ibra, Al Sharqiya",,75
Villa,900000,"Al Hail, Muscat",3.0,1
Apartment,30000,"Bosher, Muscat",1.0,57
Residential Land,11000,"Ibri, Al Dhahirah",,1
Apartment,68000,"Bosher, Muscat",3.0,165
Villa,45500,"Al Khaboura, Al Batinah",3.0,235
Residential Land,180000,"Al Mawaleh, Muscat",,900
Apartment,54000,"Azaiba, Muscat",2.0,101
Apartment,56500,"Al Maabilah, Muscat",1.0,50
Apartment,300000,"Muscat - Other, Muscat",3.0,100
Villa,111700,"Sultan Haitham City, Muscat",3.0,194
Apartment,50000,"Sultan Haitham City, Muscat",1.0,75
Apartment,220000,"Qantab, Muscat",2.0,199
Villa,140000,"Al Mawaleh, Muscat",6.0,600
Apartment,298000,"Qantab, Muscat",3.0,355
Villa,224000,"Muscat Hills, Muscat",3.0,280
Villa,583890,"Qantab, Muscat",4.0,422
Residential Land,200000,"Misfah, Muscat",,1
Villa,90000,"Al Khoud, Muscat",5.0,293
Apartment,45500,"Salalah, Dhofar",,38
Villa,666000,"The Wave (Almouj), Muscat",7.0,524
Residential Land,50000,"Ibra, Al Sharqiya",,2
Apartment,60486,"Bosher, Muscat",2.0,114
Apartment,60995,"Bosher, Muscat",2.0,100
Apartment,89255,"Yiti, Muscat",1.0,58
Residential Land,180000,"Al Seeb, Muscat",,1
Apartment,139000,"The Wave (Almouj), Muscat",1.0,118
Apartment,470486,"The Wave (Almouj), Muscat",2.0,203
Residential Land,70000,"Ruwi, Muscat",,531
Apartment,57000,"Al Hail, Muscat",2.0,165
Residential Land,355000,"Al Maabilah, Muscat",,1
Apartment,117000,"Al Sifah, Muscat",2.0,124
Apartment,135000,"Al Sifah, Muscat",3.0,157
Apartment,48100,"Sultan Haitham City, Muscat",1.0,74
Apartment,133000,"The Wave (Almouj), Muscat",1.0,83
Villa,60000,"Dima and Al Taaiyin, Al Sharqiya",4.0,1
Apartment,38000,"Sultan Haitham City, Muscat",1.0,52
Residential Land,2300,"Ibri, Al Dhahirah",,600
Apartment,846945,"The Wave (Almouj), Muscat",4.0,383
Apartment,88289,"Yiti, Muscat",1.0,66
Apartment,72100,"Salalah, Dhofar",1.0,78
Villa,427400,"Qantab, Muscat",4.0,422
Residential Land,11500,"Saham, Al Batinah",,1
Apartment,20000,"Salalah, Dhofar",2.0,83
Villa,27000,"Al Masn'a, Al Batinah",4.0,195
Apartment,144000,"The Wave (Almouj), Muscat",2.0,125
Apartment,318173,"The Wave (Almouj), Muscat",1.0,140
Villa,149000,"Al Mawaleh, Muscat",5.0,601
Villa,75000,"Salalah, Dhofar",1.0,77
Villa,65000,"Salalah, Dhofar",1.0,78
Villa,70000,"Salalah, Dhofar",1.0,78
Apartment,47000,"Salalah, Dhofar",1.0,64
Villa,45000,"Al Amarat, Muscat",3.0,600
Apartment,35500,"Bosher, Muscat",1.0,79
Apartment,599600,"Muscat - Other, Muscat",3.0,262
Villa,80000,"Al Amarat, Muscat",6.0,450
Apartment,90018,"Yiti, Muscat",2.0,93
Apartment,50000,"Salalah, Dhofar",1.0,40
Apartment,55070,"Sultan Haitham City, Muscat",2.0,114
Apartment,49020,"Sultan Haitham City, Muscat",1.0,72
Apartment,77250,"Salalah, Dhofar",1.0,76
Apartment,144900,"The Wave (Almouj), Muscat",2.0,119
Apartment,70000,"Madinat As Sultan Qaboos, Muscat",2.0,132
Villa,68000,"Al Seeb, Muscat",4.0,260
Apartment,74000,"Yiti, Muscat",1.0,83
Apartment,50070,"Sultan Haitham City, Muscat",1.0,67
Residential Land,5000,"Ibri, Al Dhahirah",,600
Residential Land,75000,"Bosher, Muscat",,600
Residential Land,22000,"Al Masn'a, Al Batinah",,4
Apartment,145000,"The Wave (Almouj), Muscat",2.0,127
Villa,214500,"Al Maabilah, Muscat",4.0,411
