title,price,location,rooms,size
Apartment,85000,"Salalah, Dhofar",2.0,120.0
Apartment,130000,"Al Mawaleh, Muscat",3.0,566.0
Apartment,95000,"Salalah, Dhofar",1.0,76.0
Apartment,110000,"The Wave (Almouj), Muscat",1.0,107.0
Chalet,51000,"Barka, Al Batinah",2.0,600.0
Apartment,35000,"Salalah, Dhofar",3.0,150.0
Villa,76000,"Al Maabilah, Muscat",4.0,345.0
Apartment,70850,"Al Maabilah, Muscat",2.0,109.0
Villa,980000,"Al Sifah, Muscat",5.0,2.0
Apartment,60000,"Al Sifah, Muscat",1.0,59.0
Villa,413968,"Qantab, Muscat",4.0,422.0
Apartment,140000,"The Wave (Almouj), Muscat",2.0,140.0
Villa,185000,"The Wave (Almouj), Muscat",2.0,128.0
Apartment,70850,"Sultan Haitham City, Muscat",2.0,109.0
Apartment,163050,"Sultan Haitham City, Muscat",3.0,217.0
Apartment,53300,"Sultan Haitham City, Muscat",1.0,82.0
Residential Land,100000,"Al Amarat, Muscat",,400.0
Residential Land,140000,"Ansab, Muscat",,734.0
Residential Land,100000,"Bosher, Muscat",,500.0
Apartment,58500,"Sultan Haitham City, Muscat",1.0,70.0
Villa,250000,"Al Sifah, Muscat",3.0,153.0
Apartment,255000,"The Wave (Almouj), Muscat",2.0,157.0
Villa,225000,"The Wave (Almouj), Muscat",4.0,176.0
Apartment,85000,"Muscat Hills, Muscat",2.0,120.0
Residential Land,12200,"Barka, Al Batinah",,810.0
Villa,95000,"Misfah, Muscat",4.0,215.0
Apartment,46150,"Al Maabilah, Muscat",1.0,71.0
Apartment,923409,"Muscat - Other, Muscat",4.0,424.0
Apartment,288115,"Qantab, Muscat",3.0,361.0
Villa,1100000,"Suwaiq, Al Batinah",6.0,15.0
Villa,79000,"Salalah, Dhofar",1.0,69.0
Villa,140000,"Salalah, Dhofar",2.0,110.0
Villa,98000,"Al Seeb, Muscat",7.0,425.0
Villa,140000,"Al Hail, Muscat",5.0,320.0
Residential Land,16000,"Barka, Al Batinah",,630.0
Apartment,125000,"The Wave (Almouj), Muscat",1.0,110.0
Apartment,29000,"Darsait, Muscat",2.0,90.0
Apartment,61000,"Al Sifah, Muscat",1.0,64.0
Apartment,50000,"Salalah, Dhofar",1.0,55.0
Residential Land,27000,"Al Amarat, Muscat",,333.0
Apartment,100000,"The Wave (Almouj), Muscat",1.0,107.0
Villa,2800000,"The Wave (Almouj), Muscat",6.0,1.0
Apartment,88000,"Ghala, Muscat",2.0,139.0
Residential Land,6700,"Saham, Al Batinah",,1.0
Residential Land,20500,"Sohar, Al Batinah",,600.0
Villa,149695,"Al Maabilah, Muscat",5.0,249.0
Apartment,50000,"Salalah, Dhofar",1.0,65.0
Villa,175000,"Sultan Haitham City, Muscat",3.0,220.0
Villa,256000,"Muscat Hills, Muscat",5.0,258.0
Apartment,68000,"Al Sifah, Muscat",1.0,91.0
Apartment,45000,"Al Sifah, Muscat",,61.0
Residential Land,135000,"Al Maabilah, Muscat",,400.0
