title,price,location,rooms,size
Apartment,"74,000","Salalah, Dhofar",2,61 Sq. M.
Residential Land,"5,000","Al Buraimi, Al Buraimi",not available,624 Sq. M.
Residential Land,"63,000","Barka, Al Batinah",not available,"1,272 Sq. M."
Apartment,"100,000","Salalah, Dhofar",1,85 Sq. M.
Villa,"190,000","Ansab, Muscat",6,527 Sq. M.
Villa,"70,000","Al Amarat, Muscat",5,534 Sq. M.
Apartment,"103,000","Muscat Hills, Muscat",2,168 Sq. M.
Villa,"50,000","Barka, Al Batinah",3,176 Sq. M.
Villa,"50,000","Sohar, Al Batinah",2,610 Sq. M.
Residential Land,"55,000","Al Qabil, Al Sharqiya",not available,"6,050 Sq. M."
Residential Land,"14,000","Al 'Awabi, Al Batinah",not available,500 Sq. M.
Apartment,"50,070","Sultan Haitham City, Muscat",1,67 Sq. M.
Villa,"330,000","Muscat Hills, Muscat",4,280 Sq. M.
Apartment,"248,000","The Wave (Almouj), Muscat",3,245 Sq. M.
Residential Land,"14,900","Ja'alan Bani Bu Ali, Al Sharqiya",not available,656 Sq. M.
Apartment,"144,554","Yiti, Muscat",2,117 Sq. M.
Apartment,"26,000","Al Maabilah, Muscat",2,102 Sq. M.
Villa,"65,000","Al Amarat, Muscat",5,300 Sq. M.
Chalet,"78,500","Barka, Al Batinah",2,150 Sq. M.
Villa,"125,000","Al Mawaleh, Muscat",4,634 Sq. M.
Apartment,"35,500","Bosher, Muscat",1,79 Sq. M.
Apartment,"29,000","Bosher, Muscat",1,67 Sq. M.
Villa,"178,000","Al Maabilah, Muscat",5,249 Sq. M.
Residential Land,"20,000","Barka, Al Batinah",not available,479 Sq. M.
Apartment,"41,600","Sultan Haitham City, Muscat",not available,56 Sq. M.
Residential Land,"18,000","Barka, Al Batinah",not available,600 Sq. M.
Apartment,"35,000","Ghala, Muscat",1,67 Sq. M.
Apartment,"27,000","Mirbat, Dhofar",2,70 Sq. M.
Residential Land,"38,500","Al Maabilah, Muscat",not available,600 Sq. M.
Residential Land,"57,000","Al Seeb, Muscat",not available,119 Sq. M.
Villa,"185,000","The Wave (Almouj), Muscat",2,128 Sq. M.
Residential Land,"5,150","Barka, Al Batinah",not available,609 Sq. M.
Apartment,"65,000","Muscat Hills, Muscat",not available,46 Sq. M.
Apartment,"95,326","Yiti, Muscat",1,59 Sq. M.
Residential Land,"10,000","Saham, Al Batinah",not available,600 Sq. M.
Villa,"950,000","Qantab, Muscat",5,750 Sq. M.
Apartment,"140,375","Qantab, Muscat",2,115 Sq. M.
Villa,"356,040","Qantab, Muscat",3,357 Sq. M.
Apartment,"140,000","Al Sifah, Muscat",2,159 Sq. M.
Chalet,"205,000","Al Sifah, Muscat",3,177 Sq. M.
Apartment,"70,850","Sultan Haitham City, Muscat",2,109 Sq. M.
Apartment,"204,000","Sultan Haitham City, Muscat",4,272 Sq. M.
Apartment,"163,050","Sultan Haitham City, Muscat",3,217 Sq. M.
Villa,"154,000","Sultan Haitham City, Muscat",3,209 Sq. M.
Apartment,"29,500","Al Khoud, Muscat",1,60 Sq. M.
Residential Land,"133,000","Al Maabilah, Muscat",not available,400 Sq. M.
Residential Land,"20,000","Al Amarat, Muscat",not available,612 Sq. M.
Apartment,"110,000","The Wave (Almouj), Muscat",1,88 Sq. M.
Apartment,"72,000","Muscat Hills, Muscat",2,108 Sq. M.
Residential Land,"14,900","Barka, Al Batinah",not available,300 Sq. M.
Apartment,"41,000","Sultan Haitham City, Muscat",not available,71 Sq. M.
Residential Land,"10,900","Al Amarat, Muscat",not available,675 Sq. M.
Apartment,"43,000","Al Khoud, Muscat",2,110 Sq. M.
Apartment,"67,000","Muscat Hills, Muscat",1,96 Sq. M.
Apartment,"39,000","Azaiba, Muscat",2,98 Sq. M.
